replication,threshold_eci_pre,rss_selected
703,-0.907,457.8990381417533
704,-0.907,458.22385257060694
705,-0.57963333,451.8387197643186
706,-0.907,455.66563877154294
707,-0.907,456.92692334117726
708,-0.73925,458.14712678552536
709,-0.907,456.55791646046157
710,-0.907,456.5521134559384
711,-0.57963333,457.5929142955428
712,-0.907,457.03493451088934
713,-0.907,458.2727706542482
714,-0.907,457.2800586523167
715,-0.907,457.8783430509726
716,0.39473333,452.8485647839138
717,-0.73925,457.34946925010945
718,-0.73925,453.23639019749794
719,-0.907,458.2919726023181
720,-0.907,454.6867775181018
721,-0.907,456.8885109777487
722,-0.907,457.7576176353695
723,-0.907,455.0127240897044
724,-0.907,458.4316650606685
725,-0.73925,454.6126088119772
726,-0.907,456.79433570127446
727,-0.907,456.71484201831765
728,-0.21506667,456.5499776939504
729,-0.57963333,452.39772683937093
730,-0.57963333,457.3668943030255
731,-0.907,457.83390952916113
732,-0.38943333,454.9718665014542
733,-0.73925,452.0647916444668
734,-0.907,453.6470833112397
735,-0.57963333,455.68543977131344
736,-0.907,457.8037636351481
737,-0.73925,457.8349396151481
738,-0.907,454.77702205416296
739,-0.73925,456.45313051687316
740,-0.73925,456.1064066343413
741,-0.907,451.40485011517256
742,-0.73925,457.78920687156176
743,-0.907,458.3531752899224
744,-0.38943333,457.4194490089567
745,-0.907,456.01958304326536
746,-0.907,456.9420948035771
747,-0.907,457.01843879179205
748,-0.907,457.78859704897945
749,-0.73925,457.7836005726317
750,-0.73925,457.7607237872068
751,0.28161667,451.5425764772064
752,-0.907,458.04998799160796
753,0.28161667,453.67800441963965
754,-0.57963333,456.8173927675195
755,-0.907,454.5213774998513
756,-0.907,457.479416441005
757,0.51945,454.9969421921181
758,-0.907,458.1848283368902
759,-0.73925,457.375397654724
760,0.09166667,454.4642883868046
761,-0.907,458.2186922067971
762,-0.57963333,455.69194782260433
763,-0.907,457.47723511355616
764,-0.73925,454.6690961080228
765,-0.907,456.3288624165976
766,-0.907,457.6390848331763
767,-0.57963333,457.45290982127943
768,-0.73925,455.36053067126096
769,-0.907,457.9335222309949
770,-0.57963333,454.00052546877345
771,-0.907,456.89182303232735
772,-0.907,457.4414209779436
773,-0.907,454.9082559217769
774,-0.57963333,451.5137789711218
775,-0.907,456.42551689861995
776,-0.57963333,451.4487144822821
777,-0.57963333,457.71727317019304
778,-0.73925,458.1502969263374
779,-0.73925,456.6809755928964
780,-0.73925,457.47684013234516
781,-0.907,453.4465834155774
782,-0.73925,456.9569923122062
783,-0.907,456.62709453275784
784,-0.907,454.83105742302166
785,-0.907,456.3855625584446
786,-0.907,457.4659954231235
787,-0.907,456.15529570983495
788,-0.907,458.3679124969786
789,-0.907,457.67390046206066
790,-0.907,458.3154790316642
791,-0.907,457.49156494440774
792,-0.907,456.0882040547967
793,-0.907,456.3767293905991
794,0.51945,452.02585414624167
795,-0.907,456.4610359017306
796,-0.907,455.1421394084813
797,-0.73925,457.16579656520355
798,-0.38943333,457.44566436728815
799,-0.907,456.29857846852065
800,-0.907,457.8104795281146
801,-0.907,454.2519903360511
802,-0.907,458.4150320148833
803,-0.907,455.25115651554177
804,-0.73925,456.91315064039816
805,-0.57963333,455.47274163382895
806,-0.57963333,454.5299144513395
807,-0.907,456.8102275896308
808,-0.57963333,455.7011472880822
809,-0.907,456.09686236624594
810,-0.73925,456.09473778392373
811,-0.907,457.7964367162497
812,-0.907,457.81254458934325
813,-0.57963333,455.9032766408172
814,-0.907,458.5602538503043
815,-0.907,455.93824908941906
816,-0.907,457.2832001976224
817,-0.21506667,454.59530860273554
818,-0.907,455.62668959185396
819,-0.907,456.88872891575755
820,-0.907,456.5533516657604
821,-0.907,455.98315851198953
822,-0.73925,457.0045976030901
823,-0.907,457.1254944596445
824,-0.907,456.1494873175618
825,-0.73925,456.8563831219388
826,-0.73925,450.9591448282563
