country_iso3_code,cate_mean_country,dv
NZL,-0.024768238082930473,DV3_Partner_Diversification
CHL,-0.02169615794337665,DV3_Partner_Diversification
ETH,-0.01903006605873876,DV3_Partner_Diversification
GMB,-0.018650374389798895,DV3_Partner_Diversification
JPN,-0.018220154741512107,DV3_Partner_Diversification
URY,-0.017856141366820268,DV3_Partner_Diversification
BRA,-0.017648215068111695,DV3_Partner_Diversification
CUB,-0.01707324839754602,DV3_Partner_Diversification
ECU,-0.01683201101834051,DV3_Partner_Diversification
BGD,-0.01642491395919421,DV3_Partner_Diversification
BEN,-0.014115101655253981,DV3_Partner_Diversification
TJK,-0.013739356252043821,DV3_Partner_Diversification
GTM,-0.012764720841249933,DV3_Partner_Diversification
UGA,-0.011677726863255111,DV3_Partner_Diversification
AUS,-0.01164355049904322,DV3_Partner_Diversification
ZWE,-0.007235304230130723,DV3_Partner_Diversification
CYM,-0.005955495804124994,DV3_Partner_Diversification
IRQ,-0.005499175304402959,DV3_Partner_Diversification
IRN,-0.005083321904597382,DV3_Partner_Diversification
UZB,-0.0008871990114928341,DV3_Partner_Diversification
CPV,-0.0004517376226907843,DV3_Partner_Diversification
PAK,0.00032759638264311385,DV3_Partner_Diversification
ATG,0.0017540885724875305,DV3_Partner_Diversification
COD,0.002281877024387813,DV3_Partner_Diversification
VUT,0.0029369205427696387,DV3_Partner_Diversification
SYR,0.0029410463929516986,DV3_Partner_Diversification
MHL,0.006439280451694595,DV3_Partner_Diversification
BMU,0.006734616037437191,DV3_Partner_Diversification
TLS,0.00972585796255481,DV3_Partner_Diversification
SLE,0.018848190569292367,DV3_Partner_Diversification
GRL,0.02050748352825888,DV3_Partner_Diversification
SWZ,0.02347784140226862,DV3_Partner_Diversification
HND,0.02472754245101023,DV3_Partner_Diversification
YEM,0.032777558556547924,DV3_Partner_Diversification
SOM,0.04384944285960088,DV3_Partner_Diversification
GUM,0.044971756315045894,DV3_Partner_Diversification
PLW,0.047402020800469805,DV3_Partner_Diversification
SDN,0.053302522988525544,DV3_Partner_Diversification
CAN,0.05971381501904419,DV3_Partner_Diversification
KIR,0.05993625074183798,DV3_Partner_Diversification
MEX,0.060408261776806346,DV3_Partner_Diversification
CAF,0.07060443832483353,DV3_Partner_Diversification
COM,0.0707980200176774,DV3_Partner_Diversification
MDA,0.08093446258135764,DV3_Partner_Diversification
AGO,0.09414814708474209,DV3_Partner_Diversification
RWA,0.09646371989564594,DV3_Partner_Diversification
HTI,0.12267156513110482,DV3_Partner_Diversification
AFG,0.12326632900492662,DV3_Partner_Diversification
SLB,0.12927050675606852,DV3_Partner_Diversification
NER,0.13600137426857456,DV3_Partner_Diversification
TKM,0.13728528586457234,DV3_Partner_Diversification
TCD,0.14424081401667674,DV3_Partner_Diversification
MLI,0.16815777873135843,DV3_Partner_Diversification
BTN,0.1825495622806046,DV3_Partner_Diversification
NPL,0.1865466612119499,DV3_Partner_Diversification
MNG,0.19725035669063637,DV3_Partner_Diversification
SSD,0.20557707541320439,DV3_Partner_Diversification
BFA,0.2651305218187679,DV3_Partner_Diversification
GNB,0.2732831250132548,DV3_Partner_Diversification
PSE,0.3049329708118832,DV3_Partner_Diversification
