country_iso3_code,country_name,wb_region,eci_pre,exposure_pre,pre_trade_openness,z_eci_pre,z_exposure_pre,z_openness_pre
PLW,Palau,East Asia & Pacific,-0.18333333333333332,0.318465684814151,132.965900338375,-0.16520108953289228,0.5524588675299027,0.7123694462408435
PNG,Papua New Guinea,East Asia & Pacific,-2.6053333333333337,0.2036661793538015,,-2.6138232886443373,-0.12635146069369957,
POL,Poland,Europe & Central Asia,1.1103333333333334,0.07960221082602038,93.49477593101257,1.1426853341873826,-0.8599426278277167,0.016964988421063875
PRK,North Korea,East Asia & Pacific,0.27566666666666656,0.8464649054996304,,0.298844157945288,3.6745221800683683,
PRT,Portugal,Europe & Central Asia,0.7143333333333333,0.0647037706920464,79.85951598271446,0.7423325716571875,-0.9480372149673412,-0.2232617771941906
PRY,Paraguay,Latin America & Caribbean,-0.6653333333333333,0.2061909555713146,70.49551149422236,-0.6524991489762103,-0.11142244017197654,-0.38823732734921
PSE,Palestine,"Middle East, North Africa, Afghanistan & Pakistan",0.102,0.020167996826542,67.59877095376656,0.12326857774475652,-1.2113775765316752,-0.4392722627665678
PYF,French Polynesia,East Asia & Pacific,0.065,0.14165287893552822,55.66662691906185,0.08586188023562216,-0.49303656654283734,-0.6494934378069629
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",-0.16,0.1318596270630107,96.98560154441866,-0.14161128029289766,-0.5509441375842135,0.07846654758569864
ROU,Romania,Europe & Central Asia,0.9596666666666668,0.05036160576091251,82.9893749471316,0.9903625659519886,-1.0328425427019856,-0.16811974846098082
RUS,Russia,Europe & Central Asia,0.7553333333333333,0.19439540864933516,47.33231242292262,0.7837832364646067,-0.18116959670873764,-0.7963278525976946
RWA,Rwanda,Sub-Saharan Africa,-0.7643333333333334,0.1243305572059462,45.916539876659215,-0.7525873396087591,-0.5954635835556736,-0.8212710117985708
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",0.559,0.2544060684872942,70.75853383191547,0.5852918415737947,0.17367388051851954,-0.3836033852235619
SDN,Sudan,Sub-Saharan Africa,-2.107666666666667,0.2435731990907131,20.175190100930866,-2.110686357282737,0.1096190433377406,-1.2747835390728313
SEN,Senegal,Sub-Saharan Africa,-0.7326666666666667,0.2202099279220228,58.49473101113128,-0.7205725984973378,-0.028528152565235592,-0.5996677431420142
SGP,Singapore,East Asia & Pacific,1.5816666666666668,0.23289508816755902,340.9712548795541,1.6191994808352745,0.04647929415948504,4.377019312950466
SGS,South Georgia and South Sandwich Islds.,,-0.3393333333333333,0.0,,-0.3229158141659994,-1.3306310915232185,
SHN,"Saint Helena, Ascension and Tristan da Cunha",,1.1716666666666666,0.17267286499246007,,1.2046928327610826,-0.30961515865123085,
SLB,Solomon Islands,East Asia & Pacific,-1.6033333333333333,0.4692499130004501,92.30335434747384,-1.6008094804239952,1.4440471284343555,-0.004025543082036405
SLE,Sierra Leone,Sub-Saharan Africa,-0.23899999999999996,0.317169686346843,46.48897889330322,-0.22147963443402235,0.5447956189693549,-0.8111857494712083
SLV,El Salvador,Latin America & Caribbean,0.09233333333333328,0.45660244286526835,76.64803452712697,0.11349565677390155,1.3692625436120265,-0.27984183550143577
SMR,San Marino,Europe & Central Asia,1.164,0.0453955967562662,318.453475417429,1.19694189543937,-1.0622065908212488,3.9802998261540963
SOM,Somalia,Sub-Saharan Africa,-1.8990000000000002,0.1447401441562196,78.85537175723861,-1.8997260632222133,-0.47478154436859415,-0.24095284582155507
SPM,Saint Pierre and Miquelon,,0.3913333333333333,0.0078504810818041,,0.4157822123206901,-1.284211138593254,
SRB,Serbia,Europe & Central Asia,0.6446666666666667,0.032609367781387295,91.45828785249533,0.6719001412120608,-1.1378116576930521,-0.01891397143531072
SSD,South Sudan,Sub-Saharan Africa,-2.839,0.7015507161638658,63.1542312442691,-2.8500583783191407,2.8176435024747333,-0.5175764097435679
STP,Sao Tome and Principe,Sub-Saharan Africa,0.57,0.059766735246031995,,0.5964127516440778,-0.9772299422192727,
SUR,Suriname,Latin America & Caribbean,-0.6713333333333334,0.21836996978125098,,-0.6585650999236377,-0.03940783871411355,
