country_iso3_code,pre_export_intensity,pre_import_intensity,pre_total_trade_intensity,pre_log_total_trade_openness,pre_wdi_total_openness,pre_real_gdp_usd,pre_total_minus_wdi_openness,pre_wdi_compatible_export_intensity,pre_wdi_compatible_import_intensity,pre_wdi_compatible_sum,in_primary_sample
HND,31.530047016344195,47.42884849831669,78.95889551466088,4.380928476443432,102.96441112815147,21876145704.27498,-24.005515613490587,41.11598449699708,61.848426631154396,102.96441112815148,1
HRV,23.995134907691853,41.25509427442376,65.25022918211562,4.192249241331949,93.34533237938564,52755078155.59005,-28.09510319727002,34.32683488659085,59.01849749279478,93.34533237938564,1
HTI,6.128896279587952,26.88324207320777,33.01213835279572,3.5254255007483053,41.810396040097636,15155566587.26432,-8.798257687301913,7.76234420199417,34.04805183810346,41.81039604009763,1
HUN,76.64043337066983,72.37913774028773,149.01957111095757,5.010441285192325,165.431846278314,129044050448.68477,-16.412275167356427,85.08122991871726,80.35061635959673,165.43184627831397,1
IDN,16.85847912176789,14.985456949000044,31.843936070767928,3.490870880693638,39.57149303810727,905019182876.8673,-7.727556967339343,20.9495204272977,18.621972610809575,39.57149303810728,1
IND,11.605481988043183,15.241836844631495,26.847318832674677,3.3251680010450824,40.91596551122107,2270957156697.6875,-14.06864667854639,17.687036225977025,23.228929285244043,40.91596551122107,1
IRL,42.426547032272794,22.995153488587704,65.4217005208605,4.19576850554279,232.238516478707,314868086001.12335,-166.8168159578465,150.60871642960961,81.62980004909738,232.238516478707,1
IRN,13.215316540238602,13.321807640580088,26.53712418081869,3.3115937551314834,40.81850785781907,437731235108.92535,-14.281383677000381,20.327353422538565,20.491154435280507,40.81850785781907,1
IRQ,25.791050568443215,26.053434386312144,51.84448495475536,3.960646126158869,61.32033372643474,180952183080.7568,-9.475848771679381,30.504996421364392,30.815337305070347,61.32033372643474,1
ISL,22.720046051158672,30.712771063016998,53.43281711417567,3.9963833932853015,89.66911767962301,18652652016.092648,-36.236300565447344,38.12800060110084,51.54111707852218,89.66911767962301,1
ISR,17.472328176129707,20.345053128216225,37.817381304345936,3.6583550559457496,57.65903928491224,317085460470.26483,-19.841657980566303,26.63954039013717,31.019498894775065,57.65903928491224,1
ITA,24.23233229097195,21.19825661454432,45.43058890551627,3.837379657854909,55.8169421813815,1870624092596.8958,-10.386353275865233,29.77233452153144,26.04460765985006,55.816942181381506,1
JAM,7.36558346913343,30.57773672599132,37.94332019512475,3.6594597853986315,,15356494218.324905,,,,,0
JOR,17.711141217497325,47.65586400646327,65.36700522396059,4.1943805878414375,91.27007687642786,39424521826.17397,-25.903071652467275,24.72955912469608,66.5405177517318,91.27007687642788,1
JPN,14.660113561360061,11.885383633309923,26.54549719466998,3.3152678489131326,33.7202895907456,4492278265768.249,-7.17479239607562,18.622490703302265,15.097798887443341,33.72028959074561,1
KAZ,17.864575139467956,17.227956459711596,35.09253159917955,3.5823511697469894,56.72890444321717,188288280928.84866,-21.636372844037616,28.87901584248326,27.849888600733905,56.72890444321716,1
