country_iso3_code,us_export_value_pre_baci_thousand_usd,china_import_value_pre_baci_thousand_usd,us_export_share_list1_pre,us_export_competition_share_list1_pre,china_import_share_list1_pre,us_export_share_list2_pre,us_export_competition_share_list2_pre,china_import_share_list2_pre,us_export_share_list3_pre,us_export_competition_share_list3_pre,china_import_share_list3_pre,us_export_share_list4a_pre,us_export_competition_share_list4a_pre,china_import_share_list4a_pre,us_tariffed_export_share_pre,us_china_competition_tariffed_share_pre,china_tariffed_import_share_pre
GTM,13654520.624000004,6176965.872000031,0.0029683268359315,0.0005754758849719,0.0711058489073028,0.0015814611581489,0.0002127261839564,0.0265093460759206,0.455698156042419,0.0176957363698,0.4578554906414391,0.5219482870364007,0.0978096049208562,0.3167001473761734,0.9821962310729002,0.1162935433595846,0.872170833000836
GUY,1175949.769999999,525732.756999999,0.0009235870678387,0.0001518508720083,0.1432278224961359,0.0001934776516857,3.814907241966616e-06,0.0308226200179496,0.8700318424315016,0.0102522980271947,0.4035639023345096,0.0548034419871522,0.0018077164200668,0.3287901347185797,0.9259523491381784,0.0122156802265119,0.9064044795671748
HKG,18591332.177000016,789092539.0910032,0.1998853513357888,0.0758687635723521,0.2238600341545341,0.0139810983164275,0.0025273197786431,0.1282945637790713,0.2358752385923761,0.0840053286656846,0.2330411561485972,0.4713136031661143,0.078534016507039,0.2328227015929398,0.921055291410707,0.2409354285237189,0.8180184556751425
HND,14205915.460999995,3832891.780999999,0.1195703267179961,0.0084588697996024,0.1580632403980727,0.0042518131383944,0.0003344697709318,0.0268782892620886,0.2533128613836405,0.0128723879975912,0.3053854079059371,0.6177324340055067,0.1553916619007433,0.337331932357002,0.9948674352455376,0.1770573894688688,0.8276588699231006
HRV,1543143.059999996,2305833.0390000003,0.1715139981901618,0.023996870529094,0.1070992781450903,0.0069348657797158,0.0009578556263255,0.0188203925722308,0.1490761342632746,0.02146499957556,0.3592371264483391,0.2632169171664488,0.0237286262279201,0.2573791965689675,0.5907419153996012,0.0701483519588997,0.7425359937346278
HTI,2803215.128000004,1420383.4929999998,0.0003454094515717,0.000112511239108,0.0491805257835392,9.427745925035536e-06,3.9747183616562e-07,0.0137220666785093,0.0287605158072619,0.0036182264315453,0.4934333047758109,0.9691807331741816,0.2512611598559106,0.348163752561999,0.9982960861789404,0.2549922949984002,0.9044996497998584
HUN,16045030.201,17478533.79599999,0.5916547772785332,0.0537989882521652,0.393246844513525,0.0337245231215754,0.0025485250287178,0.0268642703947774,0.2831703438437173,0.0886493389156322,0.2737483647567165,0.0571884838797505,0.0172758233058277,0.2412945262585571,0.9657381281235764,0.1622726755023431,0.935154005923576
IDN,62003534.35900023,98638412.05300003,0.0556281444543061,0.0099957281478847,0.2063856415800928,0.0119928987062986,0.000750847787263,0.0391275975826358,0.3791394998370389,0.0552823540521227,0.394577111664039,0.5129288113941762,0.1558871655578909,0.2293039965490002,0.95968935439182,0.2219160955451615,0.8693943473757679
IND,140316946.61200032,188348891.0860004,0.071618324013192,0.0128782422610341,0.2188122845341417,0.0094214357632475,0.0014001711733444,0.0337478365460493,0.2683832594870571,0.0590927177172256,0.340264580085778,0.4192434210934364,0.0670638263903046,0.213610476451541,0.7686664403569331,0.1404349575419089,0.80643517761751
IOT,35879.347,0.0,0.548073129647538,0.2708081132411401,,0.2296619556649122,0.0123291382274102,,0.193987365489121,0.0849753728800601,,0.0281325911533451,0.0036318643281225,,0.9998550419549164,0.3717444886767331,0.0
IRL,124072551.21000056,13860053.063999958,0.1019448157682478,0.0059706668434315,0.1923844327065275,0.0451995813925681,0.002701163281597,0.0184223995262476,0.0707893630407758,0.0054327380315963,0.3742673776966725,0.0858678498918565,0.0018985566539627,0.2254303815845771,0.3038016100934483,0.0160031248105878,0.8105045915140249
IRN,176390.31399999984,43796325.24599986,0.0001395938327996,8.304854762036322e-06,0.2745707316870915,0.0,0.0,0.0428082299249807,0.7675197233335619,0.0502075405369204,0.3921403669950283,0.2314960276106773,0.0130654946981336,0.220273551920458,0.9991553447770388,0.0632813400898161,0.9297928805275588
